Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Thailand,9,2003-06-18,6,2,,,,,
United Kingdom,4,2003-06-18,4,0,,,,,
United States,75,2003-06-18,36,0,,,,,
Viet Nam,63,2003-06-18,58,5,,,,,
Total,8465,2003-06-18,7148,801,,,,,
Australia,5,2003-06-19,5,0,,,,,
Brazil,3,2003-06-19,2,0,,,,,
Canada,245,2003-06-19,175,34,,,,,
China,5326,2003-06-19,4786,347,,,,,
"China, Hong Kong Special Administrative Region^4",1755,2003-06-19,1396,296,,,,,
"China, Macao Special Administrative Region",1,2003-06-19,1,0,,,,,
"China, Taiwan",695,2003-06-19,472,84,,,,,
Colombia,1,2003-06-19,1,0,,,,,
Finland,1,2003-06-19,1,0,,,,,
France,7,2003-06-19,6,0,,,,,
Germany,10,2003-06-19,9,0,,,,,
India,3,2003-06-19,3,0,,,,,
Indonesia,2,2003-06-19,2,0,,,,,
Italy,9,2003-06-19,9,0,,,,,
Kuwait,1,2003-06-19,1,0,,,,,
Malaysia,5,2003-06-19,3,2,,,,,
Mongolia,9,2003-06-19,9,0,,,,,
New Zealand,1,2003-06-19,1,0,,,,,
Philippines,14,2003-06-19,12,2,,,,,
Republic of Ireland,1,2003-06-19,1,0,,,,,
Republic of Korea,3,2003-06-19,3,0,,,,,
Romania,1,2003-06-19,1,0,,,,,
Russian Federation,1,2003-06-19,0,0,,,,,
Singapore,206,2003-06-19,170,31,,,,,
South Africa,1,2003-06-19,0,1,,,,,
Spain,1,2003-06-19,1,0,,,,,
Sweden,3,2003-06-19,3,0,,,,,
Switzerland,1,2003-06-19,1,0,,,,,
Thailand,9,2003-06-19,6,2,,,,,
United Kingdom,4,2003-06-19,4,0,,,,,
United States,75,2003-06-19,36,0,,,,,
Viet Nam,63,2003-06-19,58,5,,,,,
Total,8462,2003-06-19,7178,804,,,,,
Australia,5,2003-06-20,5,0,,,,,
Brazil,3,2003-06-20,2,0,,,,,
Canada,245,2003-06-20,180,34,,,,,
China,5326,2003-06-20,4806,347,,,,,
"China, Hong Kong Special Administrative Region^4",1755,2003-06-20,1403,296,,,,,
"China, Macao Special Administrative Region",1,2003-06-20,1,0,,,,,
"China, Taiwan",695,2003-06-20,480,84,,,,,
Colombia,1,2003-06-20,1,0,,,,,
Finland,1,2003-06-20,1,0,,,,,
France,7,2003-06-20,6,0,,,,,
Germany,10,2003-06-20,9,0,,,,,
India,3,2003-06-20,3,0,,,,,
Indonesia,2,2003-06-20,2,0,,,,,
Italy,9,2003-06-20,9,0,,,,,
Kuwait,1,2003-06-20,1,0,,,,,
Malaysia,5,2003-06-20,3,2,,,,,
Mongolia,9,2003-06-20,9,0,,,,,
New Zealand,1,2003-06-20,1,0,,,,,
Philippines,14,2003-06-20,12,2,,,,,
Republic of Ireland,1,2003-06-20,1,0,,,,,
Republic of Korea,3,2003-06-20,3,0,,,,,
Romania,1,2003-06-20,1,0,,,,,
Russian Federation,1,2003-06-20,0,0,,,,,
Singapore,206,2003-06-20,170,31,,,,,
South Africa,1,2003-06-20,0,1,,,,,
Spain,1,2003-06-20,1,0,,,,,
Sweden,3,2003-06-20,3,0,,,,,
Switzerland,1,2003-06-20,1,0,,,,,
Thailand,9,2003-06-20,6,2,,,,,
United Kingdom,4,2003-06-20,4,0,,,,,
United States,74,2003-06-20,36,0,,,,,
Viet Nam,63,2003-06-20,58,5,,,,,
Total,8461,2003-06-20,7218,804,,,,,
Australia,5,2003-06-23,5,0,,,,,
Brazil,3,2003-06-23,2,0,,,,,
Canada,246,2003-06-23,182,35,,,,,
China,5326,2003-06-23,4895,347,,,,,
"China, Hong Kong Special Administrative Region^5",1755,2003-06-23,1411,296,,,,,
"China, Macao Special Administrative Region",1,2003-06-23,1,0,,,,,
"China, Taiwan",692,2003-06-23,486,84,,,,,
Colombia,1,2003-06-23,1,0,,,,,
Finland,1,2003-06-23,1,0,,,,,
France,7,2003-06-23,6,0,,,,,
Germany,10,2003-06-23,9,0,,,,,
India,3,2003-06-23,3,0,,,,,
Indonesia,2,2003-06-23,2,0,,,,,
Italy,9,2003-06-23,9,0,,,,,
Kuwait,1,2003-06-23,1,0,,,,,
